id,product_id,warehouse_location,quantity_on_hand,quantity_reserved,reorder_point,last_restocked_at,updated_at
1,1,MAIN,150,20,50,2024-01-15 00:00:00,2026-05-11 05:54:07.461254
2,2,MAIN,100,15,40,2024-01-15 00:00:00,2026-05-11 05:54:07.461254
3,3,MAIN,80,10,30,2024-01-14 00:00:00,2026-05-11 05:54:07.461254
4,4,MAIN,90,12,35,2024-01-14 00:00:00,2026-05-11 05:54:07.461254
5,5,MAIN,120,18,45,2024-01-15 00:00:00,2026-05-11 05:54:07.461254
6,6,MAIN,200,30,75,2024-01-13 00:00:00,2026-05-11 05:54:07.461254
7,7,MAIN,180,25,60,2024-01-13 00:00:00,2026-05-11 05:54:07.461254
8,8,MAIN,250,40,100,2024-01-12 00:00:00,2026-05-11 05:54:07.461254
9,9,MAIN,150,20,50,2024-01-14 00:00:00,2026-05-11 05:54:07.461254
10,10,MAIN,80,10,30,2024-01-15 00:00:00,2026-05-11 05:54:07.461254
11,11,MAIN,100,15,40,2024-01-14 00:00:00,2026-05-11 05:54:07.461254
12,12,MAIN,90,12,35,2024-01-15 00:00:00,2026-05-11 05:54:07.461254
13,13,MAIN,60,8,25,2024-01-14 00:00:00,2026-05-11 05:54:07.461254
14,14,MAIN,70,10,30,2024-01-15 00:00:00,2026-05-11 05:54:07.461254
15,15,MAIN,50,5,20,2024-01-13 00:00:00,2026-05-11 05:54:07.461254
16,16,MAIN,30,5,15,2024-01-10 00:00:00,2026-05-11 05:54:07.461254
17,17,MAIN,45,8,20,2024-01-10 00:00:00,2026-05-11 05:54:07.461254
18,18,MAIN,40,6,15,2024-01-10 00:00:00,2026-05-11 05:54:07.461254
19,1,EAST,5,3,50,2024-01-01 00:00:00,2026-05-11 05:54:07.461254
20,3,EAST,8,5,30,2024-01-05 00:00:00,2026-05-11 05:54:07.461254
