id,campaign_id,spend_date,impressions,clicks,conversions,spend_amount,platform
1,1,2024-01-01,15117,508,10,195.74,Mailchimp
2,1,2024-01-02,8473,216,25,143.45,Mailchimp
3,1,2024-01-03,14925,431,35,153.16,Mailchimp
4,1,2024-01-04,19503,492,25,156.84,Mailchimp
5,1,2024-01-05,13785,252,10,162.91,Mailchimp
6,1,2024-01-06,11024,503,10,153.99,Mailchimp
7,1,2024-01-07,7122,512,25,151.88,Mailchimp
8,1,2024-01-08,10547,139,15,146.37,Mailchimp
9,1,2024-01-09,11539,564,30,172.95,Mailchimp
10,1,2024-01-10,14149,220,12,189.64,Mailchimp
11,1,2024-01-11,15604,309,20,192.24,Mailchimp
12,1,2024-01-12,17980,437,24,134.05,Mailchimp
13,1,2024-01-13,8113,105,10,187.55,Mailchimp
14,1,2024-01-14,6599,157,19,155.69,Mailchimp
15,1,2024-01-15,17384,599,23,170.40,Mailchimp
16,2,2024-01-10,19010,156,22,116.13,Facebook
17,2,2024-01-11,13023,552,9,112.27,Instagram
18,2,2024-01-12,14397,503,11,106.12,Facebook
19,2,2024-01-13,11538,244,32,102.95,TikTok
20,2,2024-01-14,17378,218,29,106.92,TikTok
21,2,2024-01-15,9754,219,27,123.36,Instagram
22,2,2024-01-16,8212,144,14,94.79,Instagram
23,2,2024-01-17,15145,338,11,103.24,Instagram
24,2,2024-01-18,7466,192,9,103.60,Instagram
25,2,2024-01-19,9122,348,33,115.51,Instagram
26,2,2024-01-20,10508,580,31,121.81,Facebook
27,2,2024-01-21,6810,266,35,137.22,Instagram
28,2,2024-01-22,18832,502,32,106.29,Facebook
29,2,2024-01-23,18466,489,23,98.75,Instagram
30,2,2024-01-24,17725,431,28,106.88,TikTok
31,2,2024-01-25,11752,374,32,121.43,Instagram
32,2,2024-01-26,8692,272,11,122.34,Facebook
33,2,2024-01-27,17166,124,34,123.50,Instagram
34,2,2024-01-28,19442,318,12,123.60,Instagram
35,2,2024-01-29,5015,411,33,138.27,Facebook
36,2,2024-01-30,14918,368,28,94.07,Facebook
37,2,2024-01-31,5274,357,17,116.80,Instagram
38,3,2024-02-07,6792,148,16,145.39,Mailchimp
39,3,2024-02-08,17221,550,35,150.82,Mailchimp
40,3,2024-02-09,5312,203,11,110.36,Mailchimp
41,3,2024-02-10,13560,498,6,126.35,Mailchimp
42,3,2024-02-11,7200,596,8,140.85,Mailchimp
43,3,2024-02-12,18964,365,21,125.83,Mailchimp
44,3,2024-02-13,16908,526,25,130.70,Mailchimp
45,3,2024-02-14,15582,483,7,142.83,Mailchimp
46,4,2024-03-01,5855,266,20,219.30,Bing Ads
47,4,2024-03-02,6126,551,14,299.04,Google Ads
48,4,2024-03-03,9533,192,22,259.23,Bing Ads
49,4,2024-03-04,14779,507,5,221.07,Google Ads
50,4,2024-03-05,13198,336,8,251.99,Bing Ads
51,4,2024-03-06,15021,158,32,286.47,Google Ads
52,4,2024-03-07,5955,465,14,238.68,Google Ads
53,4,2024-03-08,19610,364,7,265.35,Google Ads
54,4,2024-03-09,5011,378,18,293.79,Google Ads
55,4,2024-03-10,18377,395,28,260.96,Google Ads
56,4,2024-03-11,10811,575,28,218.71,Google Ads
57,4,2024-03-12,14791,227,9,257.08,Bing Ads
58,4,2024-03-13,5561,509,30,216.84,Bing Ads
59,4,2024-03-14,18706,406,7,265.23,Google Ads
60,4,2024-03-15,12928,103,12,271.06,Bing Ads
61,4,2024-03-16,9563,263,8,298.86,Google Ads
62,4,2024-03-17,5424,231,30,270.85,Google Ads
63,4,2024-03-18,11047,161,6,205.04,Google Ads
64,4,2024-03-19,17915,293,13,222.27,Bing Ads
65,4,2024-03-20,17237,245,15,228.19,Google Ads
66,4,2024-03-21,19932,411,9,232.16,Bing Ads
67,4,2024-03-22,8859,264,26,247.24,Google Ads
68,4,2024-03-23,5172,345,32,242.79,Bing Ads
69,4,2024-03-24,14969,480,28,219.75,Google Ads
70,4,2024-03-25,6965,374,23,229.17,Google Ads
71,4,2024-03-26,9281,540,10,237.49,Google Ads
72,4,2024-03-27,7780,140,16,219.00,Google Ads
73,4,2024-03-28,9869,514,7,270.02,Google Ads
74,4,2024-03-29,6880,129,33,228.53,Google Ads
75,4,2024-03-30,15720,465,20,255.44,Bing Ads
76,4,2024-03-31,8660,270,31,213.73,Bing Ads
77,5,2024-03-15,17855,266,8,60.61,Mailchimp
78,5,2024-03-16,17508,134,9,70.77,Mailchimp
79,5,2024-03-17,13071,190,13,61.18,Mailchimp
80,5,2024-03-18,14558,582,8,59.87,Mailchimp
81,5,2024-03-19,18624,263,9,73.47,Mailchimp
82,5,2024-03-20,16960,389,19,73.15,Mailchimp
83,5,2024-03-21,9887,168,10,78.85,Mailchimp
84,5,2024-03-22,19522,312,15,77.98,Mailchimp
85,5,2024-03-23,12642,191,12,56.69,Mailchimp
86,5,2024-03-24,18758,121,9,70.17,Mailchimp
87,5,2024-03-25,13680,250,27,77.12,Mailchimp
88,5,2024-03-26,18324,234,9,58.26,Mailchimp
89,5,2024-03-27,18813,373,26,65.66,Mailchimp
90,5,2024-03-28,5884,162,11,70.43,Mailchimp
91,5,2024-03-29,8735,322,19,79.27,Mailchimp
92,5,2024-03-30,12529,218,32,61.83,Mailchimp
93,5,2024-03-31,5404,116,13,55.61,Mailchimp
94,5,2024-04-01,16359,274,34,61.97,Mailchimp
95,5,2024-04-02,8652,435,18,59.02,Mailchimp
96,5,2024-04-03,14190,477,30,73.18,Mailchimp
97,5,2024-04-04,19980,530,15,60.37,Mailchimp
98,5,2024-04-05,8128,366,6,66.42,Mailchimp
99,5,2024-04-06,13398,469,6,59.97,Mailchimp
100,5,2024-04-07,12789,337,25,62.09,Mailchimp
101,5,2024-04-08,5105,118,8,68.08,Mailchimp
102,5,2024-04-09,16919,343,27,55.44,Mailchimp
103,5,2024-04-10,7168,241,22,55.43,Mailchimp
104,5,2024-04-11,8859,280,21,71.96,Mailchimp
105,5,2024-04-12,15064,101,28,58.96,Mailchimp
106,5,2024-04-13,5328,553,22,65.33,Mailchimp
107,5,2024-04-14,12090,370,33,60.66,Mailchimp
108,5,2024-04-15,8826,279,23,79.76,Mailchimp
109,5,2024-04-16,12489,155,5,66.94,Mailchimp
110,5,2024-04-17,11610,590,29,57.07,Mailchimp
111,5,2024-04-18,14840,128,23,71.85,Mailchimp
112,5,2024-04-19,17568,425,32,59.41,Mailchimp
113,5,2024-04-20,5713,523,19,67.07,Mailchimp
114,5,2024-04-21,8310,474,28,54.13,Mailchimp
115,5,2024-04-22,13477,399,17,77.06,Mailchimp
116,5,2024-04-23,18011,326,11,55.77,Mailchimp
117,5,2024-04-24,6205,433,29,76.21,Mailchimp
118,5,2024-04-25,15658,557,20,78.91,Mailchimp
119,5,2024-04-26,18516,253,28,63.13,Mailchimp
120,5,2024-04-27,13711,453,29,69.94,Mailchimp
121,5,2024-04-28,14977,537,33,66.56,Mailchimp
122,5,2024-04-29,16805,214,30,57.58,Mailchimp
123,5,2024-04-30,8612,264,24,71.20,Mailchimp
124,5,2024-05-01,16025,293,29,71.30,Mailchimp
125,5,2024-05-02,9059,492,8,79.95,Mailchimp
126,5,2024-05-03,12899,305,12,59.37,Mailchimp
127,5,2024-05-04,5369,568,25,70.47,Mailchimp
128,5,2024-05-05,12621,263,19,68.48,Mailchimp
129,5,2024-05-06,19311,481,9,67.84,Mailchimp
130,5,2024-05-07,10097,554,28,78.48,Mailchimp
131,5,2024-05-08,13833,194,29,55.41,Mailchimp
132,5,2024-05-09,19385,474,32,65.46,Mailchimp
133,5,2024-05-10,11562,191,18,54.58,Mailchimp
134,5,2024-05-11,5551,581,5,78.67,Mailchimp
135,5,2024-05-12,17304,439,16,71.14,Mailchimp
136,5,2024-05-13,15986,116,24,64.09,Mailchimp
137,5,2024-05-14,11749,154,28,67.98,Mailchimp
138,5,2024-05-15,9066,531,28,57.75,Mailchimp
139,5,2024-05-16,16645,348,6,77.47,Mailchimp
140,5,2024-05-17,18726,532,7,73.27,Mailchimp
141,5,2024-05-18,13244,224,29,69.58,Mailchimp
142,5,2024-05-19,7306,427,20,62.71,Mailchimp
143,5,2024-05-20,12100,191,8,73.83,Mailchimp
144,5,2024-05-21,5311,542,22,76.61,Mailchimp
145,5,2024-05-22,8419,392,29,58.74,Mailchimp
146,5,2024-05-23,16145,477,25,62.21,Mailchimp
147,5,2024-05-24,18857,100,12,63.56,Mailchimp
148,5,2024-05-25,11917,277,7,70.31,Mailchimp
149,5,2024-05-26,19000,297,32,72.93,Mailchimp
150,5,2024-05-27,12222,523,18,69.32,Mailchimp
151,5,2024-05-28,9284,233,29,62.55,Mailchimp
152,5,2024-05-29,12923,487,13,69.29,Mailchimp
153,5,2024-05-30,11123,228,16,74.07,Mailchimp
154,5,2024-05-31,17879,389,29,72.59,Mailchimp
155,5,2024-06-01,11606,541,31,79.45,Mailchimp
156,5,2024-06-02,15897,252,21,58.28,Mailchimp
157,5,2024-06-03,8694,332,33,60.78,Mailchimp
158,5,2024-06-04,16761,489,22,57.15,Mailchimp
159,5,2024-06-05,12969,528,30,62.83,Mailchimp
160,5,2024-06-06,14161,414,11,71.42,Mailchimp
161,5,2024-06-07,6051,575,16,78.32,Mailchimp
162,5,2024-06-08,12971,325,8,65.39,Mailchimp
163,5,2024-06-09,16202,136,27,65.03,Mailchimp
164,5,2024-06-10,12085,218,18,59.62,Mailchimp
165,5,2024-06-11,7314,204,20,73.77,Mailchimp
166,5,2024-06-12,6829,527,12,61.22,Mailchimp
167,5,2024-06-13,17895,130,16,62.19,Mailchimp
168,5,2024-06-14,7632,314,29,61.68,Mailchimp
169,5,2024-06-15,12535,167,20,71.08,Mailchimp
170,5,2024-06-16,12402,305,16,75.01,Mailchimp
171,5,2024-06-17,17049,473,13,60.59,Mailchimp
172,5,2024-06-18,11656,345,34,76.36,Mailchimp
173,5,2024-06-19,12997,389,18,76.24,Mailchimp
174,5,2024-06-20,17959,414,28,54.74,Mailchimp
175,5,2024-06-21,14022,271,29,69.72,Mailchimp
176,5,2024-06-22,6460,415,22,60.91,Mailchimp
177,5,2024-06-23,7432,167,6,58.07,Mailchimp
178,5,2024-06-24,18273,477,12,76.80,Mailchimp
179,5,2024-06-25,19808,166,20,60.51,Mailchimp
180,5,2024-06-26,10007,153,15,71.30,Mailchimp
181,5,2024-06-27,6146,134,21,71.80,Mailchimp
182,5,2024-06-28,17118,470,26,62.42,Mailchimp
183,5,2024-06-29,7480,413,17,67.35,Mailchimp
184,5,2024-06-30,14459,166,27,62.57,Mailchimp
185,5,2024-07-01,5371,168,7,73.15,Mailchimp
186,5,2024-07-02,10429,486,32,57.74,Mailchimp
187,5,2024-07-03,12673,569,18,65.88,Mailchimp
188,5,2024-07-04,18698,267,24,71.14,Mailchimp
189,5,2024-07-05,9371,579,17,57.80,Mailchimp
190,5,2024-07-06,17414,477,31,73.80,Mailchimp
191,5,2024-07-07,16786,298,35,72.02,Mailchimp
192,5,2024-07-08,6353,330,5,73.38,Mailchimp
193,5,2024-07-09,15791,470,19,71.37,Mailchimp
194,5,2024-07-10,16383,104,20,79.80,Mailchimp
195,5,2024-07-11,10910,116,28,73.35,Mailchimp
196,5,2024-07-12,7605,520,13,74.85,Mailchimp
197,5,2024-07-13,14335,554,20,70.44,Mailchimp
198,5,2024-07-14,11103,245,9,58.93,Mailchimp
199,5,2024-07-15,14213,395,35,65.67,Mailchimp
200,5,2024-07-16,12136,175,15,59.37,Mailchimp
201,5,2024-07-17,11571,187,33,71.57,Mailchimp
202,5,2024-07-18,7105,182,28,66.71,Mailchimp
203,5,2024-07-19,14541,484,6,61.39,Mailchimp
204,5,2024-07-20,14665,370,17,75.17,Mailchimp
205,5,2024-07-21,7246,270,13,59.81,Mailchimp
206,5,2024-07-22,9024,117,27,66.38,Mailchimp
207,5,2024-07-23,5619,169,16,62.68,Mailchimp
208,5,2024-07-24,18237,132,30,76.01,Mailchimp
209,5,2024-07-25,12896,555,15,63.10,Mailchimp
210,5,2024-07-26,7486,558,30,64.86,Mailchimp
211,5,2024-07-27,16818,133,24,60.78,Mailchimp
212,5,2024-07-28,13209,372,8,71.19,Mailchimp
213,5,2024-07-29,6842,215,12,60.96,Mailchimp
214,5,2024-07-30,13685,483,32,69.32,Mailchimp
215,5,2024-07-31,12780,460,28,78.55,Mailchimp
216,5,2024-08-01,5964,171,6,78.34,Mailchimp
217,5,2024-08-02,6810,381,27,78.02,Mailchimp
218,5,2024-08-03,6759,243,32,58.28,Mailchimp
219,5,2024-08-04,15255,587,34,59.96,Mailchimp
220,5,2024-08-05,16693,189,7,63.60,Mailchimp
221,5,2024-08-06,8460,142,17,66.74,Mailchimp
222,5,2024-08-07,16565,594,12,57.35,Mailchimp
223,5,2024-08-08,16378,313,9,57.36,Mailchimp
224,5,2024-08-09,18122,525,26,54.27,Mailchimp
225,5,2024-08-10,11704,214,9,53.38,Mailchimp
226,5,2024-08-11,6452,104,12,66.24,Mailchimp
227,5,2024-08-12,14959,131,30,72.22,Mailchimp
228,5,2024-08-13,19720,261,26,79.81,Mailchimp
229,5,2024-08-14,9615,441,8,66.06,Mailchimp
230,5,2024-08-15,13988,254,31,74.72,Mailchimp
231,5,2024-08-16,11267,236,26,74.47,Mailchimp
232,5,2024-08-17,18071,567,12,53.72,Mailchimp
233,5,2024-08-18,9705,332,20,60.84,Mailchimp
234,5,2024-08-19,6193,166,22,77.18,Mailchimp
235,5,2024-08-20,17757,327,29,59.93,Mailchimp
236,5,2024-08-21,17055,270,6,69.11,Mailchimp
237,5,2024-08-22,5042,172,26,78.53,Mailchimp
238,5,2024-08-23,15868,577,10,75.48,Mailchimp
239,5,2024-08-24,12901,261,24,77.96,Mailchimp
240,5,2024-08-25,18801,110,24,64.16,Mailchimp
241,5,2024-08-26,17771,109,13,75.07,Mailchimp
242,5,2024-08-27,5060,442,22,69.37,Mailchimp
243,5,2024-08-28,10582,349,24,71.79,Mailchimp
244,5,2024-08-29,16407,147,7,69.18,Mailchimp
245,5,2024-08-30,13746,163,6,54.73,Mailchimp
246,5,2024-08-31,11804,243,7,61.32,Mailchimp
247,5,2024-09-01,18940,311,20,71.71,Mailchimp
248,5,2024-09-02,10176,289,11,72.24,Mailchimp
249,5,2024-09-03,13806,490,10,68.73,Mailchimp
250,5,2024-09-04,8305,220,32,78.97,Mailchimp
251,5,2024-09-05,16436,440,23,78.76,Mailchimp
252,5,2024-09-06,10671,547,21,79.16,Mailchimp
253,5,2024-09-07,9854,205,17,53.55,Mailchimp
254,5,2024-09-08,9061,395,32,60.22,Mailchimp
255,5,2024-09-09,14128,490,30,53.89,Mailchimp
